motor,nombre,frase,tiempo_sintesis_s,std_tiempo_s,ttfb_s,warmup_s,duracion_audio_s,rtf,std_rtf,ram_pico_mb,cpu_pct_pico,cpu_pct_medio,wer,utmos
piper,piper_es_ES-davefx-medium_fast,"Error: batería al quince por ciento, volviendo a la base.",0.198,0.0193,0.1975,0.217,2.44,0.081,0.0079,213.9,100.0,54.3,0.3,
piper,piper_es_ES-davefx-medium_fast,"Por favor, despeja el camino para que pueda pasar.",0.16,0.0228,0.1592,0.196,1.96,0.081,0.0116,213.9,52.1,49.1,0.1111,
piper,piper_es_ES-davefx-medium_fast,"Hay tres personas, dos sillas y una mesa en la habitación.",0.203,0.028,0.2026,0.215,2.52,0.081,0.0111,245.7,100.0,51.9,0.1818,
piper,piper_es_ES-davefx-medium_fast,Son las catorce horas y la temperatura es de veintidós grados.,0.215,0.0381,0.2135,0.261,2.75,0.078,0.0139,245.7,100.0,55.3,0.1818,
piper,piper_es_ES-davefx-medium_fast,He completado la tarea de inspección del pasillo norte.,0.171,0.0314,0.1704,0.206,2.24,0.076,0.014,245.7,52.3,49.7,0.0,
piper,piper_es_ES-davefx-medium_fast,El mapa ha sido actualizado con los nuevos obstáculos detectados.,0.205,0.0356,0.205,0.211,2.81,0.073,0.0127,245.7,52.3,48.9,0.0,
piper,piper_es_ES-davefx-medium_fast,La velocidad máxima ha sido reducida al cincuenta por ciento.,0.191,0.0207,0.1908,0.252,2.6,0.074,0.008,245.7,100.0,51.3,0.3,
piper,piper_es_ES-davefx-medium_fast,No se encontró ningún objeto en el área de búsqueda.,0.195,0.0017,0.1929,0.209,2.17,0.09,0.0008,245.7,52.1,49.3,0.1,
piper,piper_es_ES-davefx-medium_fast,Esperando instrucciones en el punto de espera designado.,0.165,0.0105,0.1647,0.214,2.48,0.066,0.0042,245.7,49.8,49.6,0.0,
piper,piper_es_ES-davefx-medium_fast,"Iniciando protocolo de emergencia, avisando al operador.",0.201,0.0326,0.2007,0.198,2.53,0.079,0.0129,245.7,51.2,49.0,0.5714,
piper,piper_es_ES-davefx-medium_fast,¿Deseas que repita el mensaje o continúo con la tarea?,0.152,0.0191,0.152,0.153,2.15,0.071,0.0089,245.7,49.8,48.0,0.1,
piper,piper_es_ES-davefx-medium_fast,Temperatura del motor dentro de los límites normales de operación.,0.242,0.0078,0.2412,0.202,2.79,0.087,0.0028,246.1,52.2,49.8,0.1,
piper,piper_es_ES-davefx-medium_fast,"Cargando el modelo de lenguaje, esto puede tardar unos segundos.",0.198,0.0279,0.1968,0.27,2.72,0.073,0.0103,251.4,52.3,48.9,0.0,
piper,piper_es_ES-davefx-medium_fast,He detectado un obstáculo inesperado en mi ruta y estoy buscando un camino alternativo para llegar al destino.,0.32,0.0641,0.3199,0.318,4.68,0.068,0.0137,263.4,52.3,48.9,0.1111,
piper,piper_es_ES-davefx-medium_fast,"La batería se encuentra al doce por ciento, te recomiendo llevarme a la estación de carga lo antes posible.",0.282,0.0426,0.2818,0.284,4.33,0.065,0.0098,334.0,100.0,53.1,0.2105,
piper,piper_es_ES-davefx-medium_fast,He completado el reconocimiento de la planta baja y no encontré ninguna anomalía en las áreas inspeccionadas.,0.298,0.0068,0.298,0.335,4.67,0.064,0.0015,334.0,52.3,50.0,0.0588,
piper,piper_es_ES-davefx-medium_fast,"Para ejecutar este comando necesito que confirmes la operación, ya que implica mover objetos en el entorno.",0.292,0.039,0.2914,0.312,4.55,0.064,0.0086,334.0,52.2,49.5,0.1176,
piper,piper_es_ES-davefx-medium_fast,El sensor de ultrasonidos ha detectado un objeto a treinta centímetros de distancia en el lateral derecho.,0.281,0.0103,0.2804,0.303,4.53,0.062,0.0023,334.0,52.2,49.9,0.3529,
piper,piper_es_ES-davefx-medium_fast,Actualmente estoy procesando el mapa del entorno y calculando la ruta óptima hacia el punto de destino.,0.272,0.0052,0.271,0.299,4.34,0.063,0.0012,334.0,100.0,52.1,0.1176,
piper,piper_es_ES-davefx-medium_fast,No he podido completar la tarea porque la puerta de acceso a la sala estaba bloqueada desde el interior.,0.254,0.0098,0.2522,0.31,4.14,0.061,0.0024,334.0,49.8,49.5,0.3158,
piper,piper_es_ES-davefx-medium_fast,El sistema de visión ha identificado con un noventa y cinco por ciento de confianza que el objeto es una persona.,0.305,0.0276,0.3049,0.37,4.63,0.066,0.006,335.0,100.0,52.0,0.2381,
piper,piper_es_ES-davefx-medium_fast,Se ha producido un error en el módulo de planificación de rutas y el sistema ha reiniciado automáticamente.,0.307,0.0493,0.306,0.31,4.74,0.065,0.0104,335.0,52.3,48.8,0.1667,
piper,piper_es_ES-davefx-medium_fast,"Por favor, asegúrate de que el área esté libre de personas antes de iniciar la secuencia de movimiento.",0.273,0.0298,0.2714,0.321,4.2,0.065,0.0071,335.0,100.0,53.8,0.1111,
piper,piper_es_ES-davefx-medium_fast,"He registrado una anomalía en el sensor de temperatura del motor izquierdo, te recomiendo una revisión técnica.",0.292,0.0111,0.2914,0.332,4.89,0.06,0.0023,335.1,52.3,49.8,0.1765,
piper,piper_es_ES-davefx-medium_fast,La tarea de entrega ha sido completada con éxito y el paquete depositado en el lugar indicado.,0.298,0.0315,0.2979,0.274,4.13,0.072,0.0076,335.1,52.2,49.5,0.0588,
piper,piper_es_ES-davefx-medium_fast,No puedo continuar la navegación porque el nivel de batería es insuficiente para completar el trayecto previsto.,0.298,0.0221,0.2959,0.354,4.57,0.065,0.0048,335.1,100.0,51.3,0.0,
piper,piper_es_ES-davefx-medium_fast,He actualizado el inventario de la sala de almacén y detecté que faltan tres artículos respecto al registro anterior.,0.311,0.023,0.3102,0.311,5.03,0.062,0.0046,336.0,52.2,49.8,0.1579,
piper,piper_es_ES-davefx-medium_fast,"El módulo de reconocimiento de voz no interpretó tu comando, por favor habla más despacio y con claridad.",0.306,0.0546,0.3059,0.293,4.32,0.071,0.0127,336.0,52.2,49.5,0.2778,
piper,piper_es_ES-davefx-medium_default,Hola.,0.02,0.0053,0.0202,0.037,0.48,0.043,0.011,336.0,42.4,10.6,1.0,
piper,piper_es_ES-davefx-medium_default,Finalizado.,0.037,0.0079,0.0365,0.049,0.92,0.04,0.0086,336.0,47.3,11.8,0.0,
piper,piper_es_ES-davefx-medium_default,Giro completado.,0.061,0.0009,0.0607,0.058,1.2,0.051,0.0007,336.0,49.9,48.6,0.5,
piper,piper_es_ES-davefx-medium_default,"Entendido, avanzando.",0.054,0.0009,0.0538,0.088,1.64,0.033,0.0005,336.0,52.4,47.5,1.0,
piper,piper_es_ES-davefx-medium_default,Ruta recalculada.,0.04,0.001,0.0394,0.052,1.22,0.032,0.0009,336.0,47.1,11.8,0.5,
piper,piper_es_ES-davefx-medium_default,Modo pausa activado.,0.048,0.0057,0.0478,0.058,1.36,0.035,0.0042,336.0,49.9,10.9,0.6667,
piper,piper_es_ES-davefx-medium_default,Conexión perdida.,0.052,0.0124,0.0517,0.068,1.25,0.041,0.0099,336.0,100.0,60.5,1.5,
piper,piper_es_ES-davefx-medium_default,Sistema listo.,0.051,0.0095,0.0506,0.047,1.1,0.046,0.0086,336.0,100.0,48.6,0.0,
piper,piper_es_ES-davefx-medium_default,He detectado tres objetos.,0.075,0.0161,0.0749,0.074,1.8,0.042,0.0089,336.0,49.9,47.8,0.0,
piper,piper_es_ES-davefx-medium_default,Navegando hacia la cocina.,0.053,0.0032,0.0523,0.062,1.53,0.034,0.0021,336.1,49.8,35.8,0.25,
piper,piper_es_ES-davefx-medium_default,Estoy acoplada en la base.,0.051,0.0033,0.0506,0.061,1.49,0.034,0.0022,336.1,52.3,23.0,0.0,
piper,piper_es_ES-davefx-medium_default,No puedo hacer eso ahora.,0.075,0.0019,0.0743,0.082,1.35,0.055,0.0014,336.1,49.9,49.6,0.0,
piper,piper_es_ES-davefx-medium_default,"Obstáculo detectado, deteniendo.",0.108,0.0028,0.1076,0.112,2.0,0.054,0.0014,336.1,49.9,48.7,0.6667,
piper,piper_es_ES-davefx-medium_default,Sensor de distancia activo.,0.09,0.002,0.0895,0.086,1.63,0.055,0.0012,336.1,100.0,53.0,0.0,
piper,piper_es_ES-davefx-medium_default,Batería cargada al cien por cien.,0.087,0.0236,0.0871,0.106,1.97,0.044,0.0119,336.1,51.4,48.4,0.8333,
piper,piper_es_ES-davefx-medium_default,"No entiendo, por favor repite el comando.",0.072,0.0036,0.0722,0.094,2.15,0.034,0.0017,336.1,49.9,47.3,0.1429,
piper,piper_es_ES-davefx-medium_default,Veo una persona y una silla delante.,0.1,0.0173,0.0994,0.107,2.12,0.047,0.0081,336.1,49.9,49.0,0.1429,
piper,piper_es_ES-davefx-medium_default,"Hola, soy Ana, tu robot asistente personal.",0.118,0.0228,0.1177,0.155,2.51,0.047,0.0091,336.1,51.9,49.8,0.7143,
piper,piper_es_ES-davefx-medium_default,"Tiempo agotado, por favor intenta de nuevo.",0.084,0.0041,0.0834,0.122,2.29,0.037,0.0018,336.1,100.0,55.5,0.1429,
piper,piper_es_ES-davefx-medium_default,Iniciando secuencia de navegación autónoma.,0.145,0.005,0.1444,0.145,2.35,0.062,0.0021,336.1,100.0,52.8,0.6,
piper,piper_es_ES-davefx-medium_default,¿Puedes repetirlo? No te he oído bien.,0.111,0.0249,0.0531,0.154,2.37,0.047,0.0105,336.1,52.2,49.7,0.0,
piper,piper_es_ES-davefx-medium_default,El robot TB4 usa ROS 2 Humble sobre Ubuntu.,0.174,0.0336,0.174,0.211,3.52,0.05,0.0096,337.9,52.3,49.0,0.6667,
piper,piper_es_ES-davefx-medium_default,"Error: batería al quince por ciento, volviendo a la base.",0.119,0.0048,0.1191,0.138,3.19,0.037,0.0015,337.9,52.3,49.0,0.3,
piper,piper_es_ES-davefx-medium_default,"Por favor, despeja el camino para que pueda pasar.",0.098,0.0065,0.0973,0.114,2.5,0.039,0.0026,337.9,52.4,50.6,0.0,
piper,piper_es_ES-davefx-medium_default,"Hay tres personas, dos sillas y una mesa en la habitación.",0.141,0.0149,0.1409,0.143,3.18,0.044,0.0047,337.9,100.0,52.9,0.0,
piper,piper_es_ES-davefx-medium_default,Son las catorce horas y la temperatura es de veintidós grados.,0.19,0.0358,0.1895,0.238,3.56,0.053,0.01,338.6,52.2,49.3,0.1818,
piper,piper_es_ES-davefx-medium_default,He completado la tarea de inspección del pasillo norte.,0.164,0.0101,0.1637,0.193,2.88,0.057,0.0035,338.6,100.0,52.6,0.1111,
piper,piper_es_ES-davefx-medium_default,El mapa ha sido actualizado con los nuevos obstáculos detectados.,0.234,0.0514,0.234,0.217,3.66,0.064,0.0141,338.6,52.4,49.8,0.3,
piper,piper_es_ES-davefx-medium_default,La velocidad máxima ha sido reducida al cincuenta por ciento.,0.262,0.0163,0.2618,0.212,3.45,0.076,0.0047,338.6,52.3,49.9,0.5,
piper,piper_es_ES-davefx-medium_default,No se encontró ningún objeto en el área de búsqueda.,0.214,0.0047,0.2137,0.222,2.82,0.076,0.0017,338.6,52.2,48.4,0.0,
piper,piper_es_ES-davefx-medium_default,Esperando instrucciones en el punto de espera designado.,0.2,0.0416,0.1994,0.238,3.09,0.065,0.0135,338.6,52.3,50.1,0.0,
piper,piper_es_ES-davefx-medium_default,"Iniciando protocolo de emergencia, avisando al operador.",0.179,0.0068,0.1783,0.188,3.17,0.056,0.0022,338.6,52.3,50.0,0.5714,
piper,piper_es_ES-davefx-medium_default,¿Deseas que repita el mensaje o continúo con la tarea?,0.161,0.0089,0.1605,0.174,2.77,0.058,0.0032,338.6,100.0,53.5,0.1,
piper,piper_es_ES-davefx-medium_default,Temperatura del motor dentro de los límites normales de operación.,0.206,0.0166,0.2054,0.212,3.61,0.057,0.0046,338.6,100.0,53.2,0.0,
piper,piper_es_ES-davefx-medium_default,"Cargando el modelo de lenguaje, esto puede tardar unos segundos.",0.188,0.0027,0.1873,0.221,3.47,0.054,0.0008,338.6,52.3,49.8,0.0,
piper,piper_es_ES-davefx-medium_default,He detectado un obstáculo inesperado en mi ruta y estoy buscando un camino alternativo para llegar al destino.,0.338,0.0221,0.3365,0.377,5.96,0.057,0.0037,382.4,100.0,51.6,0.0,
piper,piper_es_ES-davefx-medium_default,"La batería se encuentra al doce por ciento, te recomiendo llevarme a la estación de carga lo antes posible.",0.309,0.0276,0.3083,0.325,5.41,0.057,0.0051,382.4,52.4,50.2,0.3684,
piper,piper_es_ES-davefx-medium_default,He completado el reconocimiento de la planta baja y no encontré ninguna anomalía en las áreas inspeccionadas.,0.336,0.0345,0.3358,0.347,5.89,0.057,0.0059,385.0,100.0,51.2,0.0588,
piper,piper_es_ES-davefx-medium_default,"Para ejecutar este comando necesito que confirmes la operación, ya que implica mover objetos en el entorno.",0.304,0.0093,0.3033,0.326,5.82,0.052,0.0016,385.0,52.2,50.0,0.1765,
piper,piper_es_ES-davefx-medium_default,El sensor de ultrasonidos ha detectado un objeto a treinta centímetros de distancia en el lateral derecho.,0.301,0.0121,0.3005,0.359,5.67,0.053,0.0021,385.0,52.2,49.9,0.2941,
piper,piper_es_ES-davefx-medium_default,Actualmente estoy procesando el mapa del entorno y calculando la ruta óptima hacia el punto de destino.,0.3,0.0218,0.2995,0.332,5.56,0.054,0.0039,385.0,52.1,49.6,0.1765,
piper,piper_es_ES-davefx-medium_default,No he podido completar la tarea porque la puerta de acceso a la sala estaba bloqueada desde el interior.,0.329,0.0725,0.3288,0.334,5.18,0.064,0.014,385.0,52.2,50.0,0.0,
piper,piper_es_ES-davefx-medium_default,El sistema de visión ha identificado con un noventa y cinco por ciento de confianza que el objeto es una persona.,0.355,0.0698,0.3541,0.478,6.01,0.059,0.0116,385.3,52.3,49.9,0.2857,
piper,piper_es_ES-davefx-medium_default,Se ha producido un error en el módulo de planificación de rutas y el sistema ha reiniciado automáticamente.,0.466,0.0638,0.4649,0.355,6.16,0.076,0.0104,386.6,52.2,49.0,0.2778,
piper,piper_es_ES-davefx-medium_default,"Por favor, asegúrate de que el área esté libre de personas antes de iniciar la secuencia de movimiento.",0.4,0.0176,0.399,0.388,5.27,0.076,0.0033,386.6,52.3,49.9,0.0556,
piper,piper_es_ES-davefx-medium_default,"He registrado una anomalía en el sensor de temperatura del motor izquierdo, te recomiendo una revisión técnica.",0.397,0.0513,0.3962,0.455,6.32,0.063,0.0081,387.5,100.0,50.9,0.0588,
piper,piper_es_ES-davefx-medium_default,La tarea de entrega ha sido completada con éxito y el paquete depositado en el lugar indicado.,0.411,0.0248,0.4101,0.312,5.12,0.08,0.0048,387.5,52.3,49.9,0.0588,
piper,piper_es_ES-davefx-medium_default,No puedo continuar la navegación porque el nivel de batería es insuficiente para completar el trayecto previsto.,0.391,0.0834,0.3903,0.32,5.93,0.066,0.0141,387.5,100.0,52.8,0.0588,
piper,piper_es_ES-davefx-medium_default,He actualizado el inventario de la sala de almacén y detecté que faltan tres artículos respecto al registro anterior.,0.533,0.0892,0.5306,0.689,6.48,0.082,0.0138,390.7,51.1,47.2,0.1579,
piper,piper_es_ES-davefx-medium_default,"El módulo de reconocimiento de voz no interpretó tu comando, por favor habla más despacio y con claridad.",0.402,0.0309,0.4018,0.411,5.6,0.072,0.0055,390.7,100.0,51.4,0.2222,
piper,piper_es_ES-davefx-medium_slow,Hola.,0.021,0.0006,0.0209,0.035,0.6,0.035,0.001,390.7,0.0,0.0,1.0,
piper,piper_es_ES-davefx-medium_slow,Finalizado.,0.038,0.0006,0.0379,0.049,1.18,0.032,0.0005,390.7,44.7,11.2,0.0,
piper,piper_es_ES-davefx-medium_slow,Giro completado.,0.048,0.0046,0.0483,0.061,1.38,0.035,0.0033,390.7,100.0,49.3,0.5,
piper,piper_es_ES-davefx-medium_slow,"Entendido, avanzando.",0.084,0.0153,0.0839,0.103,2.04,0.041,0.0075,390.7,49.9,49.0,0.5,
piper,piper_es_ES-davefx-medium_slow,Ruta recalculada.,0.054,0.012,0.0541,0.063,1.4,0.039,0.0085,390.7,100.0,48.5,0.5,
piper,piper_es_ES-davefx-medium_slow,Modo pausa activado.,0.054,0.0029,0.0541,0.069,1.56,0.035,0.0019,390.7,49.9,49.8,1.0,
piper,piper_es_ES-davefx-medium_slow,Conexión perdida.,0.048,0.0041,0.0476,0.06,1.39,0.034,0.003,390.7,49.8,10.9,0.0,
piper,piper_es_ES-davefx-medium_slow,Sistema listo.,0.046,0.0025,0.0461,0.061,1.39,0.033,0.0018,390.7,0.0,0.0,0.0,
piper,piper_es_ES-davefx-medium_slow,He detectado tres objetos.,0.069,0.0008,0.0692,0.111,2.16,0.032,0.0004,390.7,100.0,56.1,0.0,
piper,piper_es_ES-davefx-medium_slow,Navegando hacia la cocina.,0.064,0.0045,0.0636,0.077,1.87,0.034,0.0024,390.7,49.9,48.5,0.0,
piper,piper_es_ES-davefx-medium_slow,Estoy acoplada en la base.,0.056,0.0025,0.0562,0.069,1.8,0.031,0.0014,390.7,52.4,47.2,0.0,
piper,piper_es_ES-davefx-medium_slow,No puedo hacer eso ahora.,0.052,0.0004,0.0515,0.065,1.56,0.033,0.0003,390.7,49.9,48.2,0.0,
piper,piper_es_ES-davefx-medium_slow,"Obstáculo detectado, deteniendo.",0.089,0.0087,0.0878,0.099,2.35,0.038,0.0037,390.7,49.9,49.1,0.3333,
piper,piper_es_ES-davefx-medium_slow,Sensor de distancia activo.,0.081,0.0115,0.081,0.111,1.89,0.043,0.0061,390.7,49.9,48.9,0.25,
piper,piper_es_ES-davefx-medium_slow,Batería cargada al cien por cien.,0.079,0.0022,0.0791,0.094,2.21,0.036,0.001,390.7,100.0,56.1,0.5,
piper,piper_es_ES-davefx-medium_slow,"No entiendo, por favor repite el comando.",0.122,0.0247,0.1219,0.097,2.37,0.052,0.0104,390.7,100.0,52.6,0.1429,
piper,piper_es_ES-davefx-medium_slow,Veo una persona y una silla delante.,0.137,0.0037,0.137,0.144,2.41,0.057,0.0016,390.7,100.0,53.1,0.1429,
piper,piper_es_ES-davefx-medium_slow,"Hola, soy Ana, tu robot asistente personal.",0.118,0.0124,0.118,0.137,3.04,0.039,0.0041,390.7,100.0,50.4,0.2857,
piper,piper_es_ES-davefx-medium_slow,"Tiempo agotado, por favor intenta de nuevo.",0.096,0.006,0.0956,0.115,2.62,0.037,0.0023,390.7,100.0,53.4,0.2857,
piper,piper_es_ES-davefx-medium_slow,Iniciando secuencia de navegación autónoma.,0.104,0.007,0.1037,0.14,2.81,0.037,0.0025,390.7,52.4,50.1,0.8,
piper,piper_es_ES-davefx-medium_slow,¿Puedes repetirlo? No te he oído bien.,0.103,0.003,0.0496,0.117,2.76,0.037,0.0011,390.7,100.0,54.0,0.1429,
piper,piper_es_ES-davefx-medium_slow,El robot TB4 usa ROS 2 Humble sobre Ubuntu.,0.222,0.0022,0.2221,0.164,4.32,0.052,0.0005,390.7,52.3,50.3,0.7778,
piper,piper_es_ES-davefx-medium_slow,"Error: batería al quince por ciento, volviendo a la base.",0.202,0.0043,0.2014,0.204,3.82,0.053,0.0011,390.7,100.0,55.0,0.5,
piper,piper_es_ES-davefx-medium_slow,"Por favor, despeja el camino para que pueda pasar.",0.125,0.0141,0.1245,0.171,3.07,0.041,0.0046,390.7,49.9,48.9,0.0,
piper,piper_es_ES-davefx-medium_slow,"Hay tres personas, dos sillas y una mesa en la habitación.",0.205,0.0158,0.2034,0.232,3.73,0.055,0.0042,390.7,100.0,52.5,0.3636,
piper,piper_es_ES-davefx-medium_slow,Son las catorce horas y la temperatura es de veintidós grados.,0.23,0.0105,0.2293,0.25,4.09,0.056,0.0026,390.7,100.0,52.5,0.2727,
piper,piper_es_ES-davefx-medium_slow,He completado la tarea de inspección del pasillo norte.,0.181,0.0079,0.1805,0.199,3.54,0.051,0.0022,390.7,52.2,49.0,0.0,
piper,piper_es_ES-davefx-medium_slow,El mapa ha sido actualizado con los nuevos obstáculos detectados.,0.236,0.0278,0.236,0.237,4.31,0.055,0.0065,390.7,52.2,49.7,0.3,
piper,piper_es_ES-davefx-medium_slow,La velocidad máxima ha sido reducida al cincuenta por ciento.,0.216,0.0043,0.2143,0.247,4.17,0.052,0.001,390.7,52.2,50.1,0.3,
piper,piper_es_ES-davefx-medium_slow,No se encontró ningún objeto en el área de búsqueda.,0.197,0.0404,0.1966,0.184,3.32,0.059,0.0122,390.7,100.0,53.0,0.0,
piper,piper_es_ES-davefx-medium_slow,Esperando instrucciones en el punto de espera designado.,0.254,0.0104,0.2533,0.271,3.66,0.069,0.0028,390.7,52.3,50.1,0.125,
piper,piper_es_ES-davefx-medium_slow,"Iniciando protocolo de emergencia, avisando al operador.",0.278,0.0174,0.2771,0.259,3.88,0.072,0.0045,390.7,100.0,51.6,0.4286,
piper,piper_es_ES-davefx-medium_slow,¿Deseas que repita el mensaje o continúo con la tarea?,0.226,0.0167,0.226,0.234,3.2,0.071,0.0052,390.8,51.9,49.5,0.2,
piper,piper_es_ES-davefx-medium_slow,Temperatura del motor dentro de los límites normales de operación.,0.261,0.0424,0.2611,0.225,4.24,0.062,0.01,390.8,100.0,51.8,0.0,
piper,piper_es_ES-davefx-medium_slow,"Cargando el modelo de lenguaje, esto puede tardar unos segundos.",0.266,0.0481,0.2658,0.234,4.06,0.066,0.0118,390.8,52.1,49.5,0.0,
piper,piper_es_ES-davefx-medium_slow,He detectado un obstáculo inesperado en mi ruta y estoy buscando un camino alternativo para llegar al destino.,0.543,0.0519,0.5423,0.449,7.23,0.075,0.0072,400.5,100.0,50.0,0.0556,
piper,piper_es_ES-davefx-medium_slow,"La batería se encuentra al doce por ciento, te recomiendo llevarme a la estación de carga lo antes posible.",0.366,0.038,0.3657,0.356,6.25,0.059,0.0061,400.5,52.3,49.7,0.2105,
piper,piper_es_ES-davefx-medium_slow,He completado el reconocimiento de la planta baja y no encontré ninguna anomalía en las áreas inspeccionadas.,0.405,0.0457,0.4043,0.467,7.15,0.057,0.0064,400.5,52.2,49.8,0.0588,
piper,piper_es_ES-davefx-medium_slow,"Para ejecutar este comando necesito que confirmes la operación, ya que implica mover objetos en el entorno.",0.501,0.0241,0.5003,0.62,6.95,0.072,0.0035,400.5,100.0,51.0,0.2941,
piper,piper_es_ES-davefx-medium_slow,El sensor de ultrasonidos ha detectado un objeto a treinta centímetros de distancia en el lateral derecho.,0.419,0.0942,0.4187,0.539,6.82,0.062,0.0138,400.5,100.0,53.0,0.4118,
piper,piper_es_ES-davefx-medium_slow,Actualmente estoy procesando el mapa del entorno y calculando la ruta óptima hacia el punto de destino.,0.336,0.0094,0.3355,0.335,6.78,0.05,0.0014,400.5,52.3,50.1,0.0,
piper,piper_es_ES-davefx-medium_slow,No he podido completar la tarea porque la puerta de acceso a la sala estaba bloqueada desde el interior.,0.38,0.0543,0.3793,0.337,6.16,0.062,0.0088,400.5,64.5,49.4,0.0526,
piper,piper_es_ES-davefx-medium_slow,El sistema de visión ha identificado con un noventa y cinco por ciento de confianza que el objeto es una persona.,0.486,0.014,0.4852,0.489,7.11,0.068,0.002,401.1,100.0,51.1,0.2381,
piper,piper_es_ES-davefx-medium_slow,Se ha producido un error en el módulo de planificación de rutas y el sistema ha reiniciado automáticamente.,0.357,0.0102,0.3554,0.363,7.23,0.049,0.0014,401.1,100.0,51.7,0.1111,
piper,piper_es_ES-davefx-medium_slow,"Por favor, asegúrate de que el área esté libre de personas antes de iniciar la secuencia de movimiento.",0.332,0.023,0.3279,0.363,6.14,0.054,0.0037,401.1,100.0,51.7,0.1111,
piper,piper_es_ES-davefx-medium_slow,"He registrado una anomalía en el sensor de temperatura del motor izquierdo, te recomiendo una revisión técnica.",0.363,0.0104,0.3621,0.401,7.23,0.05,0.0014,403.0,100.0,51.6,0.1176,
piper,piper_es_ES-davefx-medium_slow,La tarea de entrega ha sido completada con éxito y el paquete depositado en el lugar indicado.,0.401,0.0462,0.4002,0.352,6.23,0.064,0.0074,403.0,100.0,51.5,0.0,
